Path, MIP, Institute, Model, Experiment, Ensemble, Table, Variable, Allocation (TB), Current Usage (TB), Percent used
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl, CMIP, MOHC, HadGEM3-GC31-LL, piControl, , , , 13.64, 5.58, 40.91
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/amip, CMIP, MOHC, UKESM1-0-LL, amip, , , , 3.76, 0.56, 14.89
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical, CMIP, MOHC, UKESM1-0-LL, historical, , , , 61.43, 61.33, 99.84
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/abrupt-4xCO2, CMIP, MOHC, UKESM1-0-LL, abrupt-4xCO2, , , , 2.46, 3.21, 130.49
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/1pctCO2, CMIP, MOHC, UKESM1-0-LL, 1pctCO2, , , , 8.16, 10.73, 131.5
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl, CMIP, MOHC, UKESM1-0-LL, piControl, , , , 18.19, 19.5, 107.2
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp126, ScenarioMIP, MOHC, UKESM1-0-LL, ssp126, , , , 7.58, 17.04, 224.8
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp245, ScenarioMIP, MOHC, UKESM1-0-LL, ssp245, , , , 4.93, 5.89, 119.47
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp585, ScenarioMIP, MOHC, UKESM1-0-LL, ssp585, , , , 6.83, 7.79, 114.06
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp370, ScenarioMIP, MOHC, UKESM1-0-LL, ssp370, , , , 17.67, 17.63, 99.77
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/amip, CMIP, MOHC, HadGEM3-GC31-LL, amip, , , , 3.35, 3.9, 116.42
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/abrupt-4xCO2, CMIP, MOHC, HadGEM3-GC31-LL, abrupt-4xCO2, , , , 1.21, 1.69, 139.67
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2, CMIP, MOHC, HadGEM3-GC31-LL, 1pctCO2, , , , 6.14, 9.58, 156.03
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical, CMIP, MOHC, HadGEM3-GC31-LL, historical, , , , 13.64, 9.44, 69.21
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-control, AerChemMIP, MOHC, UKESM1-0-LL, piClim-control, , , , 0.11, 0.0, 0.0
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc, C4MIP, MOHC, UKESM1-0-LL, 1pctCO2-bgc, , , , 2.01, 0.64, 31.84
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-rad, C4MIP, MOHC, UKESM1-0-LL, 1pctCO2-rad, , , , 2.01, 0.64, 31.84
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/esm-hist, CMIP, MOHC, UKESM1-0-LL, esm-hist, , , , 5.89, 3.44, 58.4
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-CH4, AerChemMIP, MOHC, UKESM1-0-LL, piClim-CH4, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/DAMIP/MOHC/HadGEM3-GC31-LL/hist-nat, DAMIP, MOHC, HadGEM3-GC31-LL, hist-nat, , , , 5.44, 3.86, 70.96
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-aer, AerChemMIP, MOHC, UKESM1-0-LL, piClim-aer, , , , 0.15, 0.0, 0.0
/badc/cmip6/data/CMIP6/DAMIP/MOHC/HadGEM3-GC31-LL/hist-GHG, DAMIP, MOHC, HadGEM3-GC31-LL, hist-GHG, , , , 5.44, 3.86, 70.96
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xdust, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xdust, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xNOx, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xNOx, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/ssp585-bgc, C4MIP, MOHC, UKESM1-0-LL, ssp585-bgc, , , , 0.97, 0.48, 49.48
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xfire, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xfire, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/hist-piAer, AerChemMIP, MOHC, UKESM1-0-LL, hist-piAer, , , , 4.64, 4.94, 106.47
/badc/cmip6/data/CMIP6/DAMIP/MOHC/HadGEM3-GC31-LL/hist-aer, DAMIP, MOHC, HadGEM3-GC31-LL, hist-aer, , , , 5.33, 3.84, 72.05
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-BC, AerChemMIP, MOHC, UKESM1-0-LL, piClim-BC, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xDMS, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xDMS, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/RFMIP/MOHC/UKESM1-0-LL/piClim-ghg, RFMIP, MOHC, UKESM1-0-LL, piClim-ghg, , , , 0.19, 0.19, 100.0
/badc/cmip6/data/CMIP6/RFMIP/MOHC/UKESM1-0-LL/piClim-anthro, RFMIP, MOHC, UKESM1-0-LL, piClim-anthro, , , , 0.19, 0.19, 100.0
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp434, ScenarioMIP, MOHC, UKESM1-0-LL, ssp434, , , , 4.27, 4.93, 115.46
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/hist-bgc, C4MIP, MOHC, UKESM1-0-LL, hist-bgc, , , , 1.84, 0.63, 34.24
/badc/cmip6/data/CMIP6/LUMIP/MOHC/UKESM1-0-LL/ssp370-ssp126Lu, LUMIP, MOHC, UKESM1-0-LL, ssp370-ssp126Lu, , , , 0.8, 1.0, 125.0
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp245, ScenarioMIP, MOHC, HadGEM3-GC31-LL, ssp245, , , , 1.7, 2.77, 162.94
/badc/cmip6/data/CMIP6/LUMIP/MOHC/UKESM1-0-LL/hist-noLu, LUMIP, MOHC, UKESM1-0-LL, hist-noLu, , , , 1.04, 1.22, 117.31
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xVOC, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xVOC, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/amip, CMIP, MOHC, HadGEM3-GC31-MM, amip, , , , 2.63, 2.63, 100.0
/badc/cmip6/data/CMIP6/LUMIP/MOHC/UKESM1-0-LL/ssp126-ssp370Lu, LUMIP, MOHC, UKESM1-0-LL, ssp126-ssp370Lu, , , , 0.71, 0.99, 139.44
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp119, ScenarioMIP, MOHC, UKESM1-0-LL, ssp119, , , , 4.27, 4.92, 115.22
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/UKESM1-0-LL/ssp534-over, ScenarioMIP, MOHC, UKESM1-0-LL, ssp534-over, , , , 3.05, 3.52, 115.41
/badc/cmip6/data/CMIP6/GeoMIP/MOHC/UKESM1-0-LL/G1, GeoMIP, MOHC, UKESM1-0-LL, G1, , , , 1.4, 1.28, 91.43
/badc/cmip6/data/CMIP6/CMIP/MOHC/UKESM1-0-LL/esm-piControl, CMIP, MOHC, UKESM1-0-LL, esm-piControl, , , , 4.49, 5.15, 114.7
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/AERmon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, AERmon, , 0.27, 0.27, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Amon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Amon, , 0.93, 0.48, 51.61
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/CFmon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, CFmon, , 2.35, 2.55, 108.51
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Emon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Emon, , 1.21, 1.21, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/LImon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, LImon, , 0.02, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Lmon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Lmon, , 0.1, 0.01, 10.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/SImon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, SImon, , 0.18, 0.18, 100.0
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-NTCF, AerChemMIP, MOHC, UKESM1-0-LL, piClim-NTCF, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/histSST-piAer, AerChemMIP, MOHC, UKESM1-0-LL, histSST-piAer, , , , 2.37, 1.41, 59.49
/badc/cmip6/data/CMIP6/GeoMIP/MOHC/UKESM1-0-LL/G6solar, GeoMIP, MOHC, UKESM1-0-LL, G6solar, , , , 1.21, 1.07, 88.43
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-OC, AerChemMIP, MOHC, UKESM1-0-LL, piClim-OC, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-2xss, AerChemMIP, MOHC, UKESM1-0-LL, piClim-2xss, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/CDRMIP/MOHC/UKESM1-0-LL/esm-pi-cdr-pulse, CDRMIP, MOHC, UKESM1-0-LL, esm-pi-cdr-pulse, , , , 0.34, 0.11, 32.35
/badc/cmip6/data/CMIP6/CDRMIP/MOHC/UKESM1-0-LL/esm-pi-CO2pulse, CDRMIP, MOHC, UKESM1-0-LL, esm-pi-CO2pulse, , , , 0.34, 0.1, 29.41
/badc/cmip6/data/CMIP6/RFMIP/MOHC/UKESM1-0-LL/piClim-4xCO2, RFMIP, MOHC, UKESM1-0-LL, piClim-4xCO2, , , , 0.15, 0.04, 26.67
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-control, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-control, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-ghg, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-ghg, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-anthro, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-anthro, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-aer, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-aer, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-lu, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-lu, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/RFMIP/MOHC/HadGEM3-GC31-LL/piClim-4xCO2, RFMIP, MOHC, HadGEM3-GC31-LL, piClim-4xCO2, , , , 0.15, 0.02, 13.33
/badc/cmip6/data/CMIP6/GeoMIP/MOHC/UKESM1-0-LL/G6sulfur, GeoMIP, MOHC, UKESM1-0-LL, G6sulfur, , , , 1.21, 1.05, 86.78
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/esm-ssp585, C4MIP, MOHC, UKESM1-0-LL, esm-ssp585, , , , 0.95, 0.49, 51.58
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-HC, AerChemMIP, MOHC, UKESM1-0-LL, piClim-HC, , , , 0.41, 0.0, 0.0
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/piClim-SO2, AerChemMIP, MOHC, UKESM1-0-LL, piClim-SO2, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/CFMIP/MOHC/HadGEM3-GC31-LL/amip-piForcing, CFMIP, MOHC, HadGEM3-GC31-LL, amip-piForcing, , , , 2.01, 0.48, 23.88
/badc/cmip6/data/CMIP6/GeoMIP/MOHC/UKESM1-0-LL/G7cirrus, GeoMIP, MOHC, UKESM1-0-LL, G7cirrus, , , , 1.21, 1.28, 105.79
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/esm-1pct-brch-750PgC, C4MIP, MOHC, UKESM1-0-LL, esm-1pct-brch-750PgC, , , , 1.04, 0.39, 37.5
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/esm-1pct-brch-2000PgC, C4MIP, MOHC, UKESM1-0-LL, esm-1pct-brch-2000PgC, , , , 1.04, 0.39, 37.5
/badc/cmip6/data/CMIP6/RFMIP/MOHC/UKESM1-0-LL/piClim-lu, RFMIP, MOHC, UKESM1-0-LL, piClim-lu, , , , 0.15, 0.04, 26.67
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Omon, , 0.29, 0.31, 106.9
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/AERmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, AERmon, , 0.04, 0.01, 25.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/AERday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, AERday, , 0.02, 0.01, 50.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Amon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Amon, , 0.31, 0.16, 51.61
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/CFmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, CFmon, , 1.88, 0.81, 43.09
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Eday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Eday, , 0.82, 0.82, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Emon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Emon, , 0.04, 0.01, 25.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/LImon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, LImon, , 0.01, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Lmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Lmon, , 0.03, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Omon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Omon, , 3.77, 4.07, 107.96
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/SIday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, SIday, , 0.09, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/SImon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, SImon, , 0.06, 0.06, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/day, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, day, , 1.34, 1.1, 82.09
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/Oday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, Oday, , 0.29, 0.29, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r1i1p1f3/CFday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r1i1p1f3, CFday, , 5.46, 0.17, 3.11
/badc/cmip6/data/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/histSST, AerChemMIP, MOHC, UKESM1-0-LL, histSST, , , , 2.37, 1.41, 59.49
/badc/cmip6/data/CMIP6/CFMIP/MOHC/HadGEM3-GC31-LL/amip-4xCO2, CFMIP, MOHC, HadGEM3-GC31-LL, amip-4xCO2, , , , 2.22, 0.33, 14.86
/badc/cmip6/data/CMIP6/CFMIP/MOHC/HadGEM3-GC31-LL/amip-future4K, CFMIP, MOHC, HadGEM3-GC31-LL, amip-future4K, , , , 0.56, 0.13, 23.21
/badc/cmip6/data/CMIP6/CFMIP/MOHC/HadGEM3-GC31-LL/amip-m4K, CFMIP, MOHC, HadGEM3-GC31-LL, amip-m4K, , , , 0.56, 0.13, 23.21
/badc/cmip6/data/CMIP6/CFMIP/MOHC/HadGEM3-GC31-LL/amip-p4K, CFMIP, MOHC, HadGEM3-GC31-LL, amip-p4K, , , , 2.22, 0.33, 14.86
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, AERday, , 0.02, 0.01, 50.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/AERmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, AERmon, , 0.04, 0.01, 25.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Amon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Amon, , 0.31, 0.16, 51.61
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/CFday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, CFday, , 5.46, 0.15, 2.75
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/CFmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, CFmon, , 1.88, 0.43, 22.87
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Eday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Eday, , 0.82, 0.82, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Emon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Emon, , 0.04, 0.01, 25.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/LImon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, LImon, , 0.01, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Lmon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Lmon, , 0.03, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Oday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Oday, , 0.29, 0.29, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/SIday, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, SIday, , 0.09, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/SImon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, SImon, , 0.06, 0.06, 100.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/day, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, day, , 1.34, 1.1, 82.09
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/historical/r2i1p1f3/Omon, CMIP, MOHC, HadGEM3-GC31-MM, historical, r2i1p1f3, Omon, , 6.05, 4.07, 67.27
/badc/cmip6/data/CMIP6/C4MIP/MOHC/UKESM1-0-LL/esm-1pct-brch-1000PgC, C4MIP, MOHC, UKESM1-0-LL, esm-1pct-brch-1000PgC, , , , 1.29, 1.9, 147.29
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/hfibthermds, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Omon, hfibthermds, 1.46, 0.07, 4.79
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/hfrunoffds, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Omon, hfrunoffds, 1.46, 0.06, 4.11
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/ficeberg, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Omon, ficeberg, 1.46, 0.07, 4.79
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Ofx, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, Ofx, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/fx, CMIP, MOHC, HadGEM3-GC31-MM, piControl, r1i1p1f1, fx, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/1pctCO2, CMIP, MOHC, HadGEM3-GC31-MM, 1pctCO2, , , , 20.55, 10.28, 50.02
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp585, ScenarioMIP, MOHC, HadGEM3-GC31-LL, ssp585, , , , 2.79, 2.78, 99.64
/badc/cmip6/data/CMIP6/ScenarioMIP/MOHC/HadGEM3-GC31-LL/ssp126, ScenarioMIP, MOHC, HadGEM3-GC31-LL, ssp126, , , , 1.99, 3.5, 175.88
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Amon, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, Amon, , 1.39, 0.16, 11.51
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Emon, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, Emon, , 0.21, 2.68, 1276.19
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/LImon, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, LImon, , 0.02, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/Lmon, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, Lmon, , 0.08, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/SImon, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, SImon, , 0.03, 0.03, 100.0
/badc/cmip6/data/CMIP6/AerChemMIP/NIWA/UKESM1-0-LL/piClim-HC, AerChemMIP, NIWA, UKESM1-0-LL, piClim-HC, , , , 0.41, 0.28, 68.29
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/SIday, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, SIday, , 0.03, 0.0, 0.0
/badc/cmip6/data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/abrupt-4xCO2/r1i1p1f3/day, CMIP, MOHC, HadGEM3-GC31-MM, abrupt-4xCO2, r1i1p1f3, day, , 2.07, 1.15, 55.56
